danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,duration_ms,genre
0.745,0.346,-7.709,0.331,0.00552,0.0,0.0881,0.1119999999999999,237240,Rap
0.654,0.418,-13.116,0.0371,0.0529,0.00131,0.0983,0.13,236375,Rap
0.787,0.545,-6.226,0.402,0.155,0.0,0.178,0.236,212802,Rap
0.68,0.578,-5.803999999999999,0.04,0.331,0.0,0.135,0.341,231267,Rap
0.7340000000000001,0.667,-4.996,0.0871,0.092,2.12e-05,0.104,0.165,211440,Rap
0.629,0.5539999999999999,-6.759,0.326,0.28,0.0,0.158,0.308,242293,Rap
0.901,0.598,-6.934,0.17,0.0192,0.0,0.0791,0.355,132331,Rap
0.599,0.622,-4.313,0.264,0.124,0.00278,0.158,0.1989999999999999,199827,Rap
0.8420000000000001,0.8009999999999999,-4.167,0.228,0.157,4.82e-06,0.0642,0.617,212500,Rap
0.7340000000000001,0.885,-5.601,0.21,0.14,0.0108,0.143,0.2769999999999999,225547,Rap
0.7879999999999999,0.47,-12.154000000000002,0.372,0.7809999999999999,0.0,0.103,0.472,214727,Rap
0.745,0.715,-3.3680000000000003,0.245,0.128,0.0,0.182,0.342,136032,Rap
0.902,0.6729999999999999,-7.481,0.4579999999999999,0.159,0.0,0.289,0.615,177048,Rap
0.6859999999999999,0.561,-9.929,0.191,0.185,0.0,0.114,0.186,116240,Rap
0.782,0.633,-4.644,0.341,0.0355,0.0,0.0615,0.7490000000000001,175213,Rap
0.753,0.5589999999999999,-4.692,0.427,0.639,0.0,0.0944,0.7759999999999999,143460,Rap
0.928,0.552,-6.769,0.357,0.00166,0.0,0.114,0.3279999999999999,186453,Rap
0.845,0.76,-6.007000000000001,0.357,0.221,0.0,0.107,0.5579999999999999,145520,Rap
